,Fun_1,Fun_2,Fun_3,Job_1,Job_2,Job_3,Qual_1,Qual_2,Qual_3,Qual_4,Ease_1,Ease_2,Ease_3,Ease_4,Zufr_1,Zufr_2,Zufr_3,Nuetz_1,Nuetz_2,Nuetz_3,Inten_1,Inten_2,Inten_3
0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0
1,3.2708333333333335,3.1041666666666665,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.739130434782609,3.108695652173913,3.1739130434782608,2.893617021276596,3.425531914893617,3.4782608695652173,3.1702127659574466,3.4468085106382977,3.3191489361702127
2,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0816326530612246,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0
3,3.2708333333333335,3.1041666666666665,2.9,3.3,3.5208333333333335,2.979591836734694,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.739130434782609,3.108695652173913,3.1739130434782608,2.893617021276596,3.425531914893617,3.4782608695652173,3.1702127659574466,3.4468085106382977,3.3191489361702127
4,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0
5,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0
6,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
7,3.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0
8,3.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
9,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
10,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0
11,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0
12,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
13,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
14,4.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0
15,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0
16,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
17,5.0,4.0,5.0,4.0,6.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
18,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
19,3.2708333333333335,3.1041666666666665,2.0,2.0,3.5208333333333335,2.0,1.0,1.0,1.0,1.0,2.5510204081632653,2.673469387755102,2.673469387755102,2.64,3.739130434782609,3.108695652173913,3.1739130434782608,2.0,2.0,3.4782608695652173,2.0,2.0,2.0
20,4.0,4.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0
21,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0
22,5.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,3.0,4.0,4.0,5.0,6.0,3.0
23,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
24,3.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
25,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
26,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
27,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0
28,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0
29,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0
30,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0
31,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,3.5208333333333335,2.979591836734694,2.04,2.08,2.0816326530612246,2.28,2.5510204081632653,2.673469387755102,2.673469387755102,2.0,3.739130434782609,3.108695652173913,3.1739130434782608,2.893617021276596,3.425531914893617,3.4782608695652173,3.1702127659574466,3.4468085106382977,3.3191489361702127
34,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
35,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0
36,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
37,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.739130434782609,3.108695652173913,3.1739130434782608,2.893617021276596,3.425531914893617,3.4782608695652173,3.1702127659574466,3.4468085106382977,3.3191489361702127
38,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
39,6.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
40,3.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
41,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
42,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0
43,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
44,3.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
45,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
46,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0
47,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0
48,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
49,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,5.0
50,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
